('Market Cap', '3.515T')
         625347 function calls (600917 primitive calls) in 7.672 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.019    0.019 url.py:1(<module>)
       52    0.000    0.000    0.000    0.000 ipaddress.py:1939(__init__)
        1    0.000    0.000    0.065    0.065 css_parser.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
        1    0.000    0.000    0.020    0.020 parse.py:1(<module>)
        6    0.000    0.000    0.001    0.000 cookiejar.py:950(set_ok)
     12/1    0.000    0.000    0.000    0.000 functools.py:713(_c3_mro)
       48    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
      218    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      327    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       52    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
       91    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       53    0.000    0.000    0.000    0.000 utils.py:56(unicode_range)
       35    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
      357    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       65    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
      188    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
  140/135    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
    35/27    0.000    0.000    0.010    0.000 css_parser.py:557(parse_pseudo_class)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      242    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       49    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.005    0.005 ssl_.py:225(create_urllib3_context)
        2    0.000    0.000    0.017    0.008 connection.py:1(<module>)
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1488(_path_hooks)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1512(__init__)
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
